query,preprocessed_query,retrieved_docs,scores
"Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ ?",bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ,['hỏi chào bác_sĩ đợt rồi em có uống thuốc giảm cân được hơn 10 ngày thì bị tim đập mạnh và đầy hơi em đã ngưng được 4 ngày nhưng bị triệu_chứng nghẹn hơi ở cổ không ợ được bác_sĩ cho em hỏi nghẹn ở cổ_họng là triệu_chứng của bệnh gì khách_hàng ẩn_danh trả_lời được giải_đáp bởi thạc_sĩ bác_sĩ phan_văn_phong bác_sĩ cấp_cứu khoa_hồi sức cấp_cứu bệnh_viện đa_khoa quốc_tế vinmec_central_park chào bạn với câu hỏi “ nghẹn ở cổ_họng là triệu_chứng của bệnh gì ” bác_sĩ xin giải_đáp như sau dựa trên thông_tin mô_tả có khả_năng đây là triệu_chứng của trào ngược dạ_dày thực_quản trào ngược dạ_dày thực_quản còn được gọi là trào ngược axit dạ_dày là tình_trạng trào ngược từng lúc hay thường_xuyên của dịch dạ_dày lên thực_quản trào ngược dạ_dày thực_quản có_thể sinh_lý chức_năng không ảnh_hưởng sinh_hoạt và phát_triển thể_chất của cơ_thể hoặc bệnh_lý có_thể gây ra suy_dinh_dưỡng viêm thực_quản và một_số biến_chứng hô_hấp khác thậm_chí tử_vong tuy_nhiên bạn vẫn cần loại_trừ các bệnh_lý khác bạn nên thăm_khám bác_sĩ chuyên_khoa để xác_định nguyên_nhân tư_vấn chi_tiết và có phương_pháp điều_trị thích_hợp nếu bạn còn thắc_mắc về nghẹn ở cổ_họng bạn có_thể đến bệnh_viện thuộc hệ_thống y_tế vinmec để kiểm_tra và tư_vấn thêm bạn nhé cảm_ơn bạn đã tin_tưởng và gửi câu hỏi đến vinmec chúc bạn có thật nhiều sức_khoẻ trân_trọng'],[66.90584359113527]
"Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ ?",bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ,['hỏi chào bác_sĩ đợt rồi em có uống thuốc giảm cân được hơn 10 ngày thì bị tim đập mạnh và đầy hơi em đã ngưng được 4 ngày nhưng bị triệu_chứng nghẹn hơi ở cổ không ợ được bác_sĩ cho em hỏi nghẹn ở cổ_họng là triệu_chứng của bệnh gì khách_hàng ẩn_danh trả_lời được giải_đáp bởi thạc_sĩ bác_sĩ phan_văn_phong bác_sĩ cấp_cứu khoa_hồi sức cấp_cứu bệnh_viện đa_khoa quốc_tế vinmec_central_park chào bạn với câu hỏi “ nghẹn ở cổ_họng là triệu_chứng của bệnh gì ” bác_sĩ xin giải_đáp như sau dựa trên thông_tin mô_tả có khả_năng đây là triệu_chứng của trào ngược dạ_dày thực_quản trào ngược dạ_dày thực_quản còn được gọi là trào ngược axit dạ_dày là tình_trạng trào ngược từng lúc hay thường_xuyên của dịch dạ_dày lên thực_quản trào ngược dạ_dày thực_quản có_thể sinh_lý chức_năng không ảnh_hưởng sinh_hoạt và phát_triển thể_chất của cơ_thể hoặc bệnh_lý có_thể gây ra suy_dinh_dưỡng viêm thực_quản và một_số biến_chứng hô_hấp khác thậm_chí tử_vong tuy_nhiên bạn vẫn cần loại_trừ các bệnh_lý khác bạn nên thăm_khám bác_sĩ chuyên_khoa để xác_định nguyên_nhân tư_vấn chi_tiết và có phương_pháp điều_trị thích_hợp nếu bạn còn thắc_mắc về nghẹn ở cổ_họng bạn có_thể đến bệnh_viện thuộc hệ_thống y_tế vinmec để kiểm_tra và tư_vấn thêm bạn nhé cảm_ơn bạn đã tin_tưởng và gửi câu hỏi đến vinmec chúc bạn có thật nhiều sức_khoẻ trân_trọng'],[65.3296326117985]
"Trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản , có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều . Đâu là dấu_hiệu chỉ của ức_chế thụ thể . H-2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton ?",trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều đâu là dấu_hiệu chỉ của ức_chế thụ thể h2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton,['1 không lạm_dụng một_số loại thuốc là cách giữ thận khoẻ_mạnh hơn nsaid thuốc chống viêm không steroid như ibuprofen và naproxen có_thể làm hỏng thận của bạn nếu dùng quá nhiều trong cùng một lúc hoặc dùng quá thường_xuyên việc sử_dụng thuốc ức_chế bơm proton ppi cho các vết loét niêm_mạc dạ_dày hoặc gerd bệnh trào ngược dạ_dày thực_quản trong thời_gian dài có_thể làm tăng nguy_cơ mắc các bệnh_lý thận mãn_tính để thận khoẻ_mạnh thì tốt nhất bạn chỉ nên dùng thuốc này khi được bác_sĩ chỉ_định'],[84.4975806703613]
"Chị Uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng , đại_tiện khó_khăn và sụt cân bất_thường . Bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy . Lúc này bác_sĩ sẽ dùng biện_pháp nào ?",chị uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng đại_tiện khó_khăn và sụt cân bất_thường bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy lúc này bác_sĩ sẽ dùng biện_pháp nào,['triệu_chứng bệnh lao ruột bệnh lao ruột xảy ra khá âm_thầm dấu_hiệu bệnh lao ruột thường không đặc_hiệu do_đó ít khi người_bệnh đến khám ở giai_đoạn đầu các dấu_hiệu bệnh lao ruột thường là biểu_hiện bệnh_lý đường tiêu_hoá như buồn_nôn đau bụng toàn_bộ hay khu_trú thường đau nhiều hơn ở hố_chậu phải đường ruột bị tắc_nghẽn do hẹp gây nên tình_trạng đau quặn bụng với chứng sôi bụng xảy ra rối_loạn đại_tiện thường là bệnh_nhân bị tiêu_chảy kéo_dài có_thể kèm theo phân có máu đôi_khi xảy ra tình_trạng bị táo_bón hoặc xen_lẫn tiêu_chảy và táo_bón triệu_chứng tiêu_chảy xuất_hiện nhiều hơn khi bệnh_nhân bị loét đầy hơi và hơi sôi bụng thường khu_trú ở vùng hố_chậu phải ngoài_ra còn có các triệu_chứng như sụt cân đổ mồ_hôi đêm sốt suy_nhược lao ruột nếu không được phát_hiện và chữa_trị kịp_thời bệnh_nhân có_thể gặp các biến_chứng như tắc ruột có khối_u giống u đại_tràng thủng ruột viêm phúc_mạc xuất_huyết tiêu_hoá nặng và hội_chứng kém hấp_thu dẫn đến suy_kiệt và tử_vong khi thấy có các triệu_chứng bất_thường nghi_ngờ bệnh lao ruột bệnh_nhân cần đến bệnh_viện hoặc các cơ_sở y_tế để được các bác_sĩ chẩn_đoán và điều_trị kịp_thời hạn_chế tối_đa các biến_chứng nguy_hiểm'],[65.14804161110824]
"Nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp , bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm . Những loại xét_nghiệm nào sẽ được tiến_hành ?",nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm những loại xét_nghiệm nào sẽ được tiến_hành,['2 mục_đích của xét_nghiệm phân xét_nghiệm phân được tiến_hành nhằm giúp xác_định các bệnh về đường tiêu_hoá gan mật và tuyến tuỵ một_số enzyme như trypsin hoặc elastase có_thể được kiểm_tra trong phân để giúp xác_định chức_năng tuyến tuỵ giúp tìm ra nguyên_nhân của các triệu_chứng ảnh_hưởng trên đường tiêu bao_gồm tiêu_chảy kéo_dài tiêu_chảy ra máu chướng bụng buồn_nôn nôn chán ăn đầy hơi đau bụng chuột_rút và sốt phát_hiện ung_thư đại_tràng bằng cách kiểm_tra tìm máu lẫn trong phân phát_hiện ký_sinh_trùng chẳng_hạn như giun_kim hoặc giardia giúp tìm ra những nguyên_nhân gây ra nhiễm_trùng như do vi_khuẩn nấm hoặc virus kiểm_tra khả_năng hấp_thu các chất dinh_dưỡng qua đường tiêu_hoá xét_nghiệm phân cho trẻ sẽ giúp bác_sĩ phát_hiện những vấn_đề sức_khoẻ của trẻ bằng cách soi phân các bác_sĩ sẽ tìm được nồng_độ ph của phân nấm cellulose cặn dư như tinh_bột tỷ_lệ vi_khuẩn đường ruột có_thể xét_nghiệm ký_sinh_trùng với trường_hợp cần_thiết để tìm giun sán cấy phân với mục_đích tìm vi_khuẩn gây bệnh có_thể kết_hợp làm kháng_sinh đồ và xét_nghiệm rotavirus'],[44.69745495377737]
"Để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp , bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân . Những yếu_tố nào sẽ được bác_sĩ xem_xét ?",để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân những yếu_tố nào sẽ được bác_sĩ xem_xét,['2 mục_đích của xét_nghiệm phân xét_nghiệm phân được tiến_hành nhằm giúp xác_định các bệnh về đường tiêu_hoá gan mật và tuyến tuỵ một_số enzyme như trypsin hoặc elastase có_thể được kiểm_tra trong phân để giúp xác_định chức_năng tuyến tuỵ giúp tìm ra nguyên_nhân của các triệu_chứng ảnh_hưởng trên đường tiêu bao_gồm tiêu_chảy kéo_dài tiêu_chảy ra máu chướng bụng buồn_nôn nôn chán ăn đầy hơi đau bụng chuột_rút và sốt phát_hiện ung_thư đại_tràng bằng cách kiểm_tra tìm máu lẫn trong phân phát_hiện ký_sinh_trùng chẳng_hạn như giun_kim hoặc giardia giúp tìm ra những nguyên_nhân gây ra nhiễm_trùng như do vi_khuẩn nấm hoặc virus kiểm_tra khả_năng hấp_thu các chất dinh_dưỡng qua đường tiêu_hoá xét_nghiệm phân cho trẻ sẽ giúp bác_sĩ phát_hiện những vấn_đề sức_khoẻ của trẻ bằng cách soi phân các bác_sĩ sẽ tìm được nồng_độ ph của phân nấm cellulose cặn dư như tinh_bột tỷ_lệ vi_khuẩn đường ruột có_thể xét_nghiệm ký_sinh_trùng với trường_hợp cần_thiết để tìm giun sán cấy phân với mục_đích tìm vi_khuẩn gây bệnh có_thể kết_hợp làm kháng_sinh đồ và xét_nghiệm rotavirus'],[48.64813673857672]
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn,['nguyên_nhân bệnh lệch khớp cắn có các nguyên_nhân chính sau gây ra bệnh sai lêch khớp cắn do di_truyền chiếm đến 70 bệnh_nhân bị mất răng_sữa sớm hoặc do thói_quen mút tay đẩy lưỡi ngậm ti giả kéo_dài do thương_tích tai_nạn dẫn đến sai_lệch khớp cắn chăm_sóc răng miệng không đúng cách hoặc phục hình phẫu_thuật thẩm_mỹ không chuẩn biến_chứng do mất răng dẫn đến răng mọc lệch toàn hàm tác_hại của bệnh lệch khớp cắn bệnh sai_lệch khớp cắn để lại nhiều hậu_quả về cả tâm_lý lẫn thẩm_mỹ cho người_bệnh người bị sai_lệch khớp cắn dẫn đến khó_khăn khi nhai và phát_âm trong một_số trường_hợp bị lệch nặng dẫn đến khớp cắn hở phanh lưỡi bám thấp làm cho hoạt_động của các cơ hàm quá mức dẫn đến tình_trạng loạn năng khớp thái_dương hàm đây chính là nguyên_nhân của những cơn đau ở khớp và xung_quanh khớp thái_dương bệnh_nhân bị sai_lệch khớp cắn khiến cho những chiếc răng lệch_lạc dễ bị chấn_thương bệnh nha_chu và sâu_răng nếu không điều_trị kịp_thời có_thể dễ_dàng bị chấn_thương răng_cửa trên hoặc làm gãy răng và chết tuỷ bệnh_nhân bị sai_lệch khớp cắn sẽ rất dễ bị mặc_cảm tự_ti về ngoại_hình hạn_chế trong giao_tiếp với bên ngoài ảnh_hưởng nhiều đến cuộc_sống cũng như công_việc'],[91.49443097166223]
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn,['nguyên_nhân bệnh lệch khớp cắn có các nguyên_nhân chính sau gây ra bệnh sai lêch khớp cắn do di_truyền chiếm đến 70 bệnh_nhân bị mất răng_sữa sớm hoặc do thói_quen mút tay đẩy lưỡi ngậm ti giả kéo_dài do thương_tích tai_nạn dẫn đến sai_lệch khớp cắn chăm_sóc răng miệng không đúng cách hoặc phục hình phẫu_thuật thẩm_mỹ không chuẩn biến_chứng do mất răng dẫn đến răng mọc lệch toàn hàm tác_hại của bệnh lệch khớp cắn bệnh sai_lệch khớp cắn để lại nhiều hậu_quả về cả tâm_lý lẫn thẩm_mỹ cho người_bệnh người bị sai_lệch khớp cắn dẫn đến khó_khăn khi nhai và phát_âm trong một_số trường_hợp bị lệch nặng dẫn đến khớp cắn hở phanh lưỡi bám thấp làm cho hoạt_động của các cơ hàm quá mức dẫn đến tình_trạng loạn năng khớp thái_dương hàm đây chính là nguyên_nhân của những cơn đau ở khớp và xung_quanh khớp thái_dương bệnh_nhân bị sai_lệch khớp cắn khiến cho những chiếc răng lệch_lạc dễ bị chấn_thương bệnh nha_chu và sâu_răng nếu không điều_trị kịp_thời có_thể dễ_dàng bị chấn_thương răng_cửa trên hoặc làm gãy răng và chết tuỷ bệnh_nhân bị sai_lệch khớp cắn sẽ rất dễ bị mặc_cảm tự_ti về ngoại_hình hạn_chế trong giao_tiếp với bên ngoài ảnh_hưởng nhiều đến cuộc_sống cũng như công_việc'],[89.27757190793649]
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn,['nguyên_nhân bệnh lệch khớp cắn có các nguyên_nhân chính sau gây ra bệnh sai lêch khớp cắn do di_truyền chiếm đến 70 bệnh_nhân bị mất răng_sữa sớm hoặc do thói_quen mút tay đẩy lưỡi ngậm ti giả kéo_dài do thương_tích tai_nạn dẫn đến sai_lệch khớp cắn chăm_sóc răng miệng không đúng cách hoặc phục hình phẫu_thuật thẩm_mỹ không chuẩn biến_chứng do mất răng dẫn đến răng mọc lệch toàn hàm tác_hại của bệnh lệch khớp cắn bệnh sai_lệch khớp cắn để lại nhiều hậu_quả về cả tâm_lý lẫn thẩm_mỹ cho người_bệnh người bị sai_lệch khớp cắn dẫn đến khó_khăn khi nhai và phát_âm trong một_số trường_hợp bị lệch nặng dẫn đến khớp cắn hở phanh lưỡi bám thấp làm cho hoạt_động của các cơ hàm quá mức dẫn đến tình_trạng loạn năng khớp thái_dương hàm đây chính là nguyên_nhân của những cơn đau ở khớp và xung_quanh khớp thái_dương bệnh_nhân bị sai_lệch khớp cắn khiến cho những chiếc răng lệch_lạc dễ bị chấn_thương bệnh nha_chu và sâu_răng nếu không điều_trị kịp_thời có_thể dễ_dàng bị chấn_thương răng_cửa trên hoặc làm gãy răng và chết tuỷ bệnh_nhân bị sai_lệch khớp cắn sẽ rất dễ bị mặc_cảm tự_ti về ngoại_hình hạn_chế trong giao_tiếp với bên ngoài ảnh_hưởng nhiều đến cuộc_sống cũng như công_việc'],[89.27757190793649]
"Kawasaki ( Viêm mạch_máu ) được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành . Trong quá_trình điều_trị đặc_hiệu , trẻ được điều_trị sớm với Gamma globulin ( một thành_phần protein trong máu người ) . Việc điều_trị bệnh Kawasaki với Gamma globulin có ý_nghĩa gì ?",kawasaki viêm mạch_máu được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành trong quá_trình điều_trị đặc_hiệu trẻ được điều_trị sớm với gamma globulin một thành_phần protein trong máu người việc điều_trị bệnh kawasaki với gamma globulin có ý_nghĩa gì,['các biện_pháp điều_trị bệnh kawasaki viêm mạch_máu bệnh kawasaki được điều_trị như_thế_nào biến_chứng do điều_trị khá hiếm tóm_lại bệnh kawasaki là một tình_trạng bệnh_lý bất_thường liên_quan đến sự viêm các mạch_máu trong cơ_thể bệnh thường gặp ở trẻ nhỏ dưới 5 tuổi đặc_biệt là trẻ_em nhật_bản và gốc á nguyên_nhân gây bệnh vẫn chưa rõ_ràng bệnh biểu_hiện với triệu_chứng sốt phát_ban cùng với các triệu_chứng ở hạch da niêm_mạc … chưa có bằng_chứng cho thấy bệnh kawasaki có_thể lây_lan việc điều_trị sớm với gammaglobulin có ý_nghĩa quan_trọng giúp đẩy_lùi các biến_chứng nguy_hiểm nhất_là tổn_thương mạch vành'],[112.13555799445245]
