query,preprocessed_query,retrieved_docs,scores
"Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ ?",bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ,['1 thực_phẩm giàu chất_béo và sô cô la thực_phẩm giàu chất_béo và sô cô la được chỉ_định theo kinh_nghiệm là thực_phẩm có_thể làm giảm áp_lực cơ_vòng thực_quản dưới hoặc kéo_dài thời_gian làm rỗng dạ_dày tuy_nhiên không có thử_nghiệm ngừng thuốc nào đánh_giá tác_động lên kết_cục bệnh trào ngược dạ_dày thực_quản'],[0.9987167716026306]
"Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ ?",bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ,['trào ngược dạ_dày thực_quản gerd là gì viêm thực_quản là tình_trạng viêm lớp niêm_mạc lót bên trong lòng thực_quản đoạn ống tiêu_hoá nối từ họng đến dạ_dày có chức_năng đưa thức_ăn vào cơ_thể bệnh có_thể do trào ngược axit nhiễm_trùng phản_ứng phụ của một_số sản_phẩm thuốc hoặc dị_ứng thực_phẩm khiến cho người_bệnh khó nuốt đau tức phần ngực'],[0.9984757900238037]
"Trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản , có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều . Đâu là dấu_hiệu chỉ của ức_chế thụ thể . H-2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton ?",trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều đâu là dấu_hiệu chỉ của ức_chế thụ thể h2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton,['trào ngược dạ_dày thực_quản gerd là gì viêm thực_quản là tình_trạng viêm lớp niêm_mạc lót bên trong lòng thực_quản đoạn ống tiêu_hoá nối từ họng đến dạ_dày có chức_năng đưa thức_ăn vào cơ_thể bệnh có_thể do trào ngược axit nhiễm_trùng phản_ứng phụ của một_số sản_phẩm thuốc hoặc dị_ứng thực_phẩm khiến cho người_bệnh khó nuốt đau tức phần ngực'],[0.9990438222885132]
"Chị Uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng , đại_tiện khó_khăn và sụt cân bất_thường . Bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy . Lúc này bác_sĩ sẽ dùng biện_pháp nào ?",chị uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng đại_tiện khó_khăn và sụt cân bất_thường bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy lúc này bác_sĩ sẽ dùng biện_pháp nào,['hỏi chào bác_sĩ em năm nay 39 tuổi mới_đây em có đi khám sức_khoẻ định_kỳ và kết_quả là em bị tuyến_giáp đa nhân 2 thuỳ lành_tính kích_thước là 3 61 8 bác_sĩ có chỉ_định là mổ nhưng em không muốn đụng_chạm đến dao_kéo vì_vậy em muốn xin bác_sĩ tư_vấn giúp em bị tuyến_giáp đa nhân 2 thuỳ lành_tính kích_thước 3618 nếu không mổ điều_trị bằng phương_pháp nào em xin cảm_ơn bác_sĩ nguyễn_thị_bích 1981 trả_lời chào chị theo thông_tin của chị chị đang bị bướu_giáp đa nhân lành_tính thêm vào đó kích_thước khối nhân giáp của chị lớn với tình_trạng bị tuyến_giáp đa nhân 2 thuỳ lành_tính kích_thước 3618 nếu chị không mong_muốn phẫu_thuật nhân tuyến_giáp thì chị nên lựa_chọn phương_pháp đốt sóng cao_tần khối_u nếu chị có nhu_cầu điều_trị chị có_thể tới khám chuyên_khoa nội_tiết một trong các bệnh_viện thuộc hệ_thống y_tế vinmec trên toàn_quốc để được bác_sĩ giàu kinh_nghiệm tư_vấn cụ_thể hơn cảm_ơn chị đã tin_tưởng và đặt câu hỏi tới vinmec trân_trọng'],[0.9987519979476929]
"Nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp , bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm . Những loại xét_nghiệm nào sẽ được tiến_hành ?",nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm những loại xét_nghiệm nào sẽ được tiến_hành,['xét_nghiệm tổng phân_tích tế_bào máu thường được yêu_cầu khi khám bệnh cấp_cứu hoặc cần theo_dõi tiến_trình điều_trị của người_bệnh dưới đây là cách đọc cùng với ý_nghĩa của sự thay_đổi những chỉ_số nằm trong xét_nghiệm tổng phân_tích tế_bào máu được tiến_hành trên thiết_bị tự_động'],[0.9989105463027954]
"Để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp , bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân . Những yếu_tố nào sẽ được bác_sĩ xem_xét ?",để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân những yếu_tố nào sẽ được bác_sĩ xem_xét,['các biện_pháp chẩn_đoán bệnh phì đại cuốn mũi bác_sĩ sẽ xem_xét các triệu_chứng lâm_sàng cũng như tiền_sử bệnh_sử cơ_địa dị_ứng của bệnh_nhân để có định_hướng cho việc chẩn_đoán bệnh một_số cận lâm_sàng như nội_soi các bộ_phận của mũi và khoang mũi có_thể được chỉ_định để thăm_dò cấu_trúc và chức_năng của mũi'],[0.9991585612297058]
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn,['đối_tượng nguy_cơ bệnh viêm cột_sống dính khớp viêm cột_sống dính khớp là bệnh rất phổ_biến và có tính_chất di_truyền bệnh hay gặp nhất ở nam_giới và thường xuất_hiện ở trước tuổi 35 và chỉ có một_số trường_hợp bệnh xuất_hiện sau 45 tuổi bệnh viêm cột_sống dính khớp rất nguy_hiểm nếu không điều_trị sớm và kịp_thời sẽ dẫn đến tình_trạng biến_dạng khớp tàn_phế phụ_thuộc và sự chăm_sóc của gia_đình và xã_hội'],[0.999060869216919]
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn,['đối_tượng nguy_cơ bệnh viêm cột_sống dính khớp viêm cột_sống dính khớp là bệnh rất phổ_biến và có tính_chất di_truyền bệnh hay gặp nhất ở nam_giới và thường xuất_hiện ở trước tuổi 35 và chỉ có một_số trường_hợp bệnh xuất_hiện sau 45 tuổi bệnh viêm cột_sống dính khớp rất nguy_hiểm nếu không điều_trị sớm và kịp_thời sẽ dẫn đến tình_trạng biến_dạng khớp tàn_phế phụ_thuộc và sự chăm_sóc của gia_đình và xã_hội'],[0.9990168809890747]
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn,['2 biến_chứng của móm hàm nhô ra có_thể gây ra tình_trạng sai khớp cắn răng của bạn không khớp với nhau đúng cách sai khớp cắn có_thể gây ra một_số vấn_đề về sức_khoẻ bao_gồm mòn răng khó nhai và các vấn_đề về phát_âm răng mọc lệch gây khó chải răng và dùng chỉ nha_khoa hơn khiến người bị móm có nguy_cơ cao bị sâu_răng và bệnh nướu răng'],[0.9990025162696838]
"Kawasaki ( Viêm mạch_máu ) được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành . Trong quá_trình điều_trị đặc_hiệu , trẻ được điều_trị sớm với Gamma globulin ( một thành_phần protein trong máu người ) . Việc điều_trị bệnh Kawasaki với Gamma globulin có ý_nghĩa gì ?",kawasaki viêm mạch_máu được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành trong quá_trình điều_trị đặc_hiệu trẻ được điều_trị sớm với gamma globulin một thành_phần protein trong máu người việc điều_trị bệnh kawasaki với gamma globulin có ý_nghĩa gì,['nguyên_nhân bệnh bệnh still ở người_lớn nguyên_nhân bệnh still ở người_lớn hiện_nay chưa được hiểu rõ nhiều chuyên_gia đồng_ý rằng bệnh nguyên của bệnh still có liên_quan đến hệ_thống hlab 17 các gen b18 b35 dr2 và các cytokine ifn gamma interleukin 6 tnf alpha chính vì_vậy bệnh được xếp vào nhóm bệnh hệ_thống với các biểu_hiện đa_dạng khắp các cơ_quan trong cơ_thể'],[0.9990831017494202]
