query,preprocessed_query,retrieved_docs,scores
"Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ ?",bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh đâu là loại thuốc mà bệnh_nhân có_thể uống thoải_mái mà không cần chỉ_định của bác_sĩ,"['tiểu_đường là bệnh mạn_tính không_thể điều_trị khỏi người_bệnh phải dùng thuốc suốt đời tuy_nhiên để tránh sự lệ_thuộc và lạm_dụng tân_dược các loại cây thuốc_nam chữa bệnh tiểu_đường cũng được sử_dụng để hỗ_trợ việc kiểm_soát đường_huyết tốt hơn', 'việt_nam là nước có tỷ_lệ bệnh_nhân nhiễm viêm gan b cao mặc_dù gần đây có thêm nhiều thuốc điều_trị viêm gan mạn_tính nhưng cũng xuất_hiện tình_trạng kháng thuốc khá phổ_biến do_đó cần sử_dụng hiệu_quả các loại thuốc viêm gan b và hiểu rõ trường_hợp nào phải bắt_buộc điều_trị', 'bệnh vảy_nến có những tác_động ảnh_hưởng lớn đến cuộc_sống của người_bệnh sử_dụng phương_pháp điều_trị bệnh tại_chỗ bằng việc sử_dụng kem bôi corticosteroid có_thể giúp giảm các triệu_chứng của bệnh']","[0.999471127986908, 0.9994291663169861, 0.9994160532951355]"
"Bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị , nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh . Đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ ?",bệnh trào ngược dạ_dày thực_quản có nhiều phương_pháp điều_trị nhưng chủ_yếu sẽ được sử_dụng thuốc để trị bệnh đâu là loại thuốc mà bệnh_nhân uống nhưng cần có chỉ_định của bác_sĩ,"['tiểu_đường là bệnh mạn_tính không_thể điều_trị khỏi người_bệnh phải dùng thuốc suốt đời tuy_nhiên để tránh sự lệ_thuộc và lạm_dụng tân_dược các loại cây thuốc_nam chữa bệnh tiểu_đường cũng được sử_dụng để hỗ_trợ việc kiểm_soát đường_huyết tốt hơn', 'việt_nam là nước có tỷ_lệ bệnh_nhân nhiễm viêm gan b cao mặc_dù gần đây có thêm nhiều thuốc điều_trị viêm gan mạn_tính nhưng cũng xuất_hiện tình_trạng kháng thuốc khá phổ_biến do_đó cần sử_dụng hiệu_quả các loại thuốc viêm gan b và hiểu rõ trường_hợp nào phải bắt_buộc điều_trị', 'bệnh vảy_nến có những tác_động ảnh_hưởng lớn đến cuộc_sống của người_bệnh sử_dụng phương_pháp điều_trị bệnh tại_chỗ bằng việc sử_dụng kem bôi corticosteroid có_thể giúp giảm các triệu_chứng của bệnh']","[0.9993643760681152, 0.9993624091148376, 0.9993614554405212]"
"Trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản , có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều . Đâu là dấu_hiệu chỉ của ức_chế thụ thể . H-2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton ?",trong các phương_thuốc điều_trị bệnh trào ngược dạ_dày thực_quản có rất nhiều tác_dụng phụ nếu bạn dùng thuốc quá nhiều đâu là dấu_hiệu chỉ của ức_chế thụ thể h2 báo_hiệu việc bạn đã quá lạm_dụng thuốc ức_chế bơm proton,"['bên cạnh các biện_pháp sử_dụng thuốc và liệu_pháp thay_thế enzyme ert người bị fabry cần áp_dụng thêm nhiều cách khác để kiểm_soát mệt_mỏi hiệu_quả như giữ mát cơ_thể ngủ đủ giấc kiểm_soát đau', 'phòng_ngừa bệnh ung_thư bàng_quang để phòng_tránh ung_thư bàng_quang xảy ra cần thực_hiện những điều sau không hút thuốc_lá tránh phơi nhiễm với những loại hoá_chất và nguồn nước mới uống nhiều nước mỗi ngày chế_độ dinh_dưỡng hợp_lý với nhiều loại rau xanh và hoa_quả khám sức_khoẻ định_kỳ', 'trị_liệu đái_tháo_đường bằng phương_pháp tiêm insulin đóng vai_trò quan_trọng trong việc kiểm_soát đường_huyết và dự_phòng biến_chứng của bệnh vậy nếu bệnh_nhân tiêm insulin đường_huyết vẫn cao là do đâu']","[0.999226450920105, 0.9992203116416931, 0.999208927154541]"
"Chị Uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng , đại_tiện khó_khăn và sụt cân bất_thường . Bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy . Lúc này bác_sĩ sẽ dùng biện_pháp nào ?",chị uyên đến gặp bác_sĩ sau khi có triệu_chứng đau bụng đại_tiện khó_khăn và sụt cân bất_thường bác_sĩ cho rằng chị đã bị bệnh tiêu_chảy cấp và cần làm rõ nguyên_nhân gây tiêu_chảy lúc này bác_sĩ sẽ dùng biện_pháp nào,"['20 bác_sĩ nội_tiết là bác_sĩ chuyên về các tuyến và hormone như insulin đối_tượng cần đến gặp bác_sĩ nội_tiết bao_gồm người mới được chẩn_đoán mắc bệnh tiểu_đường đang gặp khó_khăn trong việc kiểm_soát bệnh hoặc gặp các biến_chứng do bệnh này hay phải sử_dụng máy_bơm insulin', '6 các vấn_đề sau khi chụp một_số người bị buồn_nôn nhẹ chuột_rút hoặc tiêu_chảy do chất tương_phản hoặc các thuốc khác được tiêm vào trong cơ_thể hãy thông_báo cho bác_sĩ của bạn biết nếu bạn có bất_kỳ khó_chịu trong cơ_thể nào', 'có rất nhiều nguyên_nhân gây đau họng và các tuyến bị sưng vì_thế khi thấy có những dấu_hiệu bất_thường mà không tìm ra được nguyên_nhân thì bạn nên đến cơ_sở y_tế để được thăm_khám và điều_trị tránh những biến_chứng nguy_hiểm có_thể xảy ra']","[0.9992020130157471, 0.9991353750228882, 0.999131977558136]"
"Nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp , bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm . Những loại xét_nghiệm nào sẽ được tiến_hành ?",nhằm tìm ra nguyên_nhân gây bệnh của tiêu_chảy cấp bác_sĩ sẽ tiến_hành khám thực_thể thực_hiện mốt số xét_nghiệm những loại xét_nghiệm nào sẽ được tiến_hành,"['xét_nghiệm cytokin được sử_dụng với nhiều mục_đích khác nhau có ý_nghĩa trong nghiên_cứu cũng như lâm_sàng trước khi thực_hiện xét_nghiệm bệnh_nhân không cần kiêng ăn_uống trước khi tiến_hành xét_nghiệm', 'xét_nghiệm phân được thực_hiện trên một mẫu phân giúp bác_sĩ chẩn_đoán các bệnh_lý ảnh_hưởng đến tiêu_hoá và được áp_dụng với mọi đối_tượng', 'xét_nghiệm protein phản_ứng c được chỉ_định trong các trường_hợp có sự xuất_hiện của tình_trạng viêm tuy_nhiên không nhiều người biết protein phản_ứng c là gì và có giá_trị như_thế_nào trong chẩn_đoán bệnh']","[0.999230146408081, 0.999131441116333, 0.999129056930542]"
"Để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp , bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân . Những yếu_tố nào sẽ được bác_sĩ xem_xét ?",để có_thể tìm ra rõ nguyên_nhân gây ra bệnh tiêu_chảy cấp bác_sĩ sẽ phải tiến_hành một_số loại xét_nghiệm và xem_xét về thể_trạng của bệnh_nhân những yếu_tố nào sẽ được bác_sĩ xem_xét,"['xét_nghiệm lactate trong máu là một trong những xét_nghiệm được đánh_giá cao trong việc theo_dõi và chẩn_đoán nhiều bệnh đặc_biệt là đối_với các bệnh_nhân hồi_sức cấp_cứu', '20 bác_sĩ nội_tiết là bác_sĩ chuyên về các tuyến và hormone như insulin đối_tượng cần đến gặp bác_sĩ nội_tiết bao_gồm người mới được chẩn_đoán mắc bệnh tiểu_đường đang gặp khó_khăn trong việc kiểm_soát bệnh hoặc gặp các biến_chứng do bệnh này hay phải sử_dụng máy_bơm insulin', 'các biện_pháp chẩn_đoán bệnh aids để chẩn_đoán chính_xác tình_trạng bệnh sẽ cần thông_qua bệnh_sử khám lâm_sàng và xét_nghiệm máu để phát_hiện hiv và các bệnh nhiễm_trùng khác ngoài_ra cũng có_thể phải sử_dụng thêm những xét_nghiệm khác như chụp xquang ngực']","[0.9993761777877808, 0.9993451237678528, 0.9993343353271484]"
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật trường_hợp nào dưới đây có nguy_cơ mắc bệnh sai_lệch khớp cắn,"['răng quặp vào trong là 1 trong số những sai_lệch về hình_dạng mà nhiều người mắc phải đa_phần do bẩm_sinh hoặc quá_trình thay răng vĩnh_viễn bị sai_sót hiện_nay để khắc_phục tình_trạng này các bạn có_thể tham_khảo những cách chữa răng quặp bằng cách làm sứ thẩm_mỹ hoặc chỉnh_hình răng', 'khớp cắn hở là một trong những tình_trạng vô_cùng nghiêm_trọng và khó điều_trị trong những dạng sai khớp cắn tìm_hiểu chi_tiết về nguyên_nhân dấu_hiệu phương_án điều_trị các trường_hợp khớp cắn hở sẽ giúp bạn giảm_thiểu những ảnh_hưởng xấu đến tình_trạng sức_khoẻ răng miệng của bản_thân', 'tật đẩy lưỡi bẩm_sinh là một thói_quen xấu có_thể gây ra nhiều hậu_quả nghiêm_trọng về răng khớp cắn và phát_âm ở trẻ_em với người_lớn tật đẩy lưỡi có_thể gây hô thưa răng_cửa tuy_nhiên nếu phát_hiện và loại_bỏ sớm thói_quen xấu này người_bệnh có_thể tránh được nguy_cơ bị lệch_lạc răng hàm trong tương_lai']","[0.9994264245033264, 0.9994072914123535, 0.9994044899940491]"
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật vậy đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn,"['răng quặp vào trong là 1 trong số những sai_lệch về hình_dạng mà nhiều người mắc phải đa_phần do bẩm_sinh hoặc quá_trình thay răng vĩnh_viễn bị sai_sót hiện_nay để khắc_phục tình_trạng này các bạn có_thể tham_khảo những cách chữa răng quặp bằng cách làm sứ thẩm_mỹ hoặc chỉnh_hình răng', 'tật đẩy lưỡi bẩm_sinh là một thói_quen xấu có_thể gây ra nhiều hậu_quả nghiêm_trọng về răng khớp cắn và phát_âm ở trẻ_em với người_lớn tật đẩy lưỡi có_thể gây hô thưa răng_cửa tuy_nhiên nếu phát_hiện và loại_bỏ sớm thói_quen xấu này người_bệnh có_thể tránh được nguy_cơ bị lệch_lạc răng hàm trong tương_lai', 'khớp cắn hở là một trong những tình_trạng vô_cùng nghiêm_trọng và khó điều_trị trong những dạng sai khớp cắn tìm_hiểu chi_tiết về nguyên_nhân dấu_hiệu phương_án điều_trị các trường_hợp khớp cắn hở sẽ giúp bạn giảm_thiểu những ảnh_hưởng xấu đến tình_trạng sức_khoẻ răng miệng của bản_thân']","[0.9994150400161743, 0.9993858933448792, 0.999377965927124]"
"Theo thống_kê , có tới 85% dân_số trên thế_giới có tình_trạng sai_lệch khớp chân . Tình_trạng này rất phổ_biến , xuất_phát từ một_số nguyên_nhân như do di_truyền , do có thói_quen xấu , mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật . Đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn ?",theo thống_kê có tới 85 dân_số trên thế_giới có tình_trạng sai_lệch khớp chân tình_trạng này rất phổ_biến xuất_phát từ một_số nguyên_nhân như do di_truyền do có thói_quen xấu mất răng_cửa sớm hay do phục_hồi răng sai kỹ_thuật đối_tượng nào có nguy_cơ mắc bệnh sai_lệch khớp cắn,"['răng quặp vào trong là 1 trong số những sai_lệch về hình_dạng mà nhiều người mắc phải đa_phần do bẩm_sinh hoặc quá_trình thay răng vĩnh_viễn bị sai_sót hiện_nay để khắc_phục tình_trạng này các bạn có_thể tham_khảo những cách chữa răng quặp bằng cách làm sứ thẩm_mỹ hoặc chỉnh_hình răng', 'tật đẩy lưỡi bẩm_sinh là một thói_quen xấu có_thể gây ra nhiều hậu_quả nghiêm_trọng về răng khớp cắn và phát_âm ở trẻ_em với người_lớn tật đẩy lưỡi có_thể gây hô thưa răng_cửa tuy_nhiên nếu phát_hiện và loại_bỏ sớm thói_quen xấu này người_bệnh có_thể tránh được nguy_cơ bị lệch_lạc răng hàm trong tương_lai', 'khớp cắn hở là một trong những tình_trạng vô_cùng nghiêm_trọng và khó điều_trị trong những dạng sai khớp cắn tìm_hiểu chi_tiết về nguyên_nhân dấu_hiệu phương_án điều_trị các trường_hợp khớp cắn hở sẽ giúp bạn giảm_thiểu những ảnh_hưởng xấu đến tình_trạng sức_khoẻ răng miệng của bản_thân']","[0.9994175434112549, 0.9994029998779297, 0.9993822574615479]"
"Kawasaki ( Viêm mạch_máu ) được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành . Trong quá_trình điều_trị đặc_hiệu , trẻ được điều_trị sớm với Gamma globulin ( một thành_phần protein trong máu người ) . Việc điều_trị bệnh Kawasaki với Gamma globulin có ý_nghĩa gì ?",kawasaki viêm mạch_máu được biết là bệnh có tính_chất nghiêm_trọng vì liên_quan đến tổn_thương mạch vành trong quá_trình điều_trị đặc_hiệu trẻ được điều_trị sớm với gamma globulin một thành_phần protein trong máu người việc điều_trị bệnh kawasaki với gamma globulin có ý_nghĩa gì,"['viêm thận kẽ là bệnh rối_loạn ảnh_hưởng đến khu_vực xung_quanh nephron dẫn tới tình_trạng viêm thận viêm mô kẽ thận có_thể là cấp_tính hoặc mãn_tính nhưng thường có tiên_lượng tốt tuy_nhiên vẫn có khoảng 13 trường_hợp cần đến lọc máu ngoài thận trong khi chờ thận hồi_phục nên việc chẩn_đoán sớm và điều_trị viêm thận kẽ là rất quan_trọng', 'chứng phình mạch_máu não là một trong những vấn_đề về thần_kinh có nhiều biến_chứng nghiêm_trọng vì_vậy việc theo_dõi và điều_trị chứng_bệnh này là vô_cùng cần_thiết vậy phình mạch_máu não là gì các nguy_cơ tử_vong từ căn bệnh ra sao', 'bệnh gút gout là một bệnh_lý viêm khớp phổ_biến liên_quan đến rối_loạn chuyển_hoá acid uric máu những biểu_hiện của bệnh gút thường xuất_hiện đột_ngột và có_thể gây ra những biến_chứng nặng nền trên xương khớp vậy biểu_hiện của bệnh gút như_thế_nào và có những phương_pháp nào để điều_trị bệnh_lý này']","[0.999393880367279, 0.9993700385093689, 0.9993699193000793]"
